,title,tags,movie_id
20,The Amazing Spider-Man,"peter parker outcast high schooler abandon by hi parent boy, leav rais by hi uncl ben aunt may. like most teenagers, peter tri figur out who he how he got person he today. peter discov mysteri briefcas that belong hi father, he begin quest understand hi parents' disappear – lead directli oscorp lab dr. curt connors, hi father' former partner. spider-man set collis cours with connors' alter ego, lizard, peter will make life-alt choic use hi power shape hi destini becom hero. action adventur fantasi lossoffath vigilant serum marvelcom scientificexperi spiderbit maskedvigilant reboot superpow geneticengin socialoutcast duringcreditssting andrewgarfield emmaston rhysifan peter parker outcast high schooler abandon by hi parent boy, leav rais by hi uncl ben aunt may. like most teenagers, peter tri figur out who he how he got person he today. peter discov mysteri briefcas that belong hi father, he begin quest understand hi parents' disappear – lead directli oscorp lab dr. curt connors, hi father' former partner. spider-man set collis cours with connors' alter ego, lizard, peter will make life-alt choic use hi power shape hi destini becom hero.",1930
21,Robin Hood,"when soldier robin happen upon die robert loxley, he promis return man' sword hi famili nottingham. there, he assum robert' identity; romanc hi widow, marion; draw ire town' sheriff king john' henchman, godfrey. action adventur robinhood archer knight sherwoodforest bowandarrow middleag mediev kingofengland russellcrow cateblanchett maxvonsydow when soldier robin happen upon die robert loxley, he promis return man' sword hi famili nottingham. there, he assum robert' identity; romanc hi widow, marion; draw ire town' sheriff king john' henchman, godfrey.",20662
22,The Hobbit: The Desolation of Smaug,"dwarves, bilbo gandalf have success escap misti mountains, bilbo gain one ring. they all continu their journey get their gold back dragon, smaug. adventur fantasi elv dwarv orc hobbit dragon wizard swordandsorceri martinfreeman ianmckellen richardarmitag dwarves, bilbo gandalf have success escap misti mountains, bilbo gain one ring. they all continu their journey get their gold back dragon, smaug.",57158
23,The Golden Compass,"after overhear shock secret, precoci orphan lyra belacqua trade her carefre exist roam hall jordan colleg for otherworldli adventur far north, unawar that it' part her destiny. adventur fantasi england compass experi lordship uncl polarbear orphan anim basedonyoungadultnovel dakotabluerichard nicolekidman danielcraig after overhear shock secret, precoci orphan lyra belacqua trade her carefre exist roam hall jordan colleg for otherworldli adventur far north, unawar that it' part her destiny.",2268
24,King Kong,"1933 new york, overli ambiti movi produc coerc hi cast hire ship crew travel mysteri skull island, where they encount kong, giant ape who immedi smitten with lead lady. adventur drama action filmbusi screenplay showbusi filmmak filmproduc exoticisland monster indigen ship dinosaur naomiwatt jackblack adrienbrodi 1933 new york, overli ambiti movi produc coerc hi cast hire ship crew travel mysteri skull island, where they encount kong, giant ape who immedi smitten with lead lady.",254
25,Titanic,"84 year later, 101-year-old woman name rose dewitt bukat tell stori her granddaught lizzi calvert, brock lovett, lewi bodine, bobbi buell anatoli mikailavich keldysh about her life set april 10th 1912, ship call titan when young rose board depart ship with upper-class passeng her mother, ruth dewitt bukater, her fiancé, caledon hockley. meanwhile, drifter artist name jack dawson hi best friend fabrizio de rossi win third-class ticket ship game. she explain whole stori departur until death titan it first last voyag april 15th, 1912 at 2:20 morning. drama romanc thriller shipwreck iceberg ship panic titan oceanlin epic richwoman-poorman love disast tragiclov classdiffer imax starcrossedlov steerag salvag richsnob 3d 1910 katewinslet leonardodicaprio francesfish 84 year later, 101-year-old woman name rose dewitt bukat tell stori her granddaught lizzi calvert, brock lovett, lewi bodine, bobbi buell anatoli mikailavich keldysh about her life set april 10th 1912, ship call titan when young rose board depart ship with upper-class passeng her mother, ruth dewitt bukater, her fiancé, caledon hockley. meanwhile, drifter artist name jack dawson hi best friend fabrizio de rossi win third-class ticket ship game. she explain whole stori departur until death titan it first last voyag april 15th, 1912 at 2:20 morning.",597
26,Captain America: Civil War,"follow event age ultron, collect govern world pass act design regul all superhuman activity. thi polar opinion amongst avengers, caus two faction side with iron man captain america, which caus epic battl between former allies. adventur action sciencefict civilwar war marvelcom sequel superhero basedoncomicbook imax aftercreditssting duringcreditssting marvelcinematicunivers 3d chrisevan robertdowneyjr. scarlettjohansson follow event age ultron, collect govern world pass act design regul all superhuman activity. thi polar opinion amongst avengers, caus two faction side with iron man captain america, which caus epic battl between former allies.",271110
27,Battleship,"when mankind beam radio signal into space, repli come ‘planet g’, form sever alien craft that splash down water off hawaii. lieuten alex hopper weapon offic assign uss john paul jones, part intern naval coalit which becom world' last hope for surviv they engag hostil alien forc unimagin strength. while take invaders, hopper must also tri live up potenti hi brother, hi fiancée' father, admir shane, expect him. thriller action adventur sciencefict fight u.s.navi mindread hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommun taser buoy communicationsexpert jointchiefsofstaff crashland jetfighterpilot navylieuten permissiontomarri ussjohnpauljon basedonboardgam aftercreditssting mightymo ussmissouri taylorkitsch alexanderskarsgård rihanna when mankind beam radio signal into space, repli come ‘planet g’, form sever alien craft that splash down water off hawaii. lieuten alex hopper weapon offic assign uss john paul jones, part intern naval coalit which becom world' last hope for surviv they engag hostil alien forc unimagin strength. while take invaders, hopper must also tri live up potenti hi brother, hi fiancée' father, admir shane, expect him.",44833
28,Jurassic World,"twenty-two year after event jurass park, isla nublar now featur fulli function dinosaur theme park, jurass world, origin envis by john hammond. action adventur sciencefict thriller monster dna tyrannosaurusrex velociraptor island sequel suspens disast escap dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror chrispratt brycedallashoward irrfankhan twenty-two year after event jurass park, isla nublar now featur fulli function dinosaur theme park, jurass world, origin envis by john hammond.",135397
29,Skyfall,"when bond' latest assign goe grave wrong agent around world are exposed, mi6 attack forc m reloc agency. these event caus her author posit challeng by gareth mallory, new chairman intellig secur committee. with mi6 now compromis both insid out, m left with one alli she can trust: bond. 007 take shadow - aid onli by field agent, eve - follow trail mysteri silva, whose lethal hidden motiv have yet reveal themselves. action adventur thriller spi secretag sociopath killer artgalleri britishsecretservic istanbulturkey imax uzi boobytrap impersonatingapoliceoffic macao danielcraig judidench javierbardem when bond' latest assign goe grave wrong agent around world are exposed, mi6 attack forc m reloc agency. these event caus her author posit challeng by gareth mallory, new chairman intellig secur committee. with mi6 now compromis both insid out, m left with one alli she can trust: bond. 007 take shadow - aid onli by field agent, eve - follow trail mysteri silva, whose lethal hidden motiv have yet reveal themselves.",37724
30,Spider-Man 2,"peter parker go through major ident crisis. burn out be spider-man, he decid shelv hi superhero alter ego, which leav citi suffer wake carnag left by evil doc ock. meantime, parker still can't act hi feel for mari jane watson, girl he' love sinc childhood. action adventur fantasi dualident loveofone'slif pizzaboy marvelcom sequel superhero doctor scientist tentacl death supervillain tobeymaguir kirstendunst jamesfranco peter parker go through major ident crisis. burn out be spider-man, he decid shelv hi superhero alter ego, which leav citi suffer wake carnag left by evil doc ock. meantime, parker still can't act hi feel for mari jane watson, girl he' love sinc childhood.",558
31,Iron Man 3,"when toni stark' world torn apart by formid terrorist call mandarin, he start odyssey rebuild retribution. action adventur sciencefict terrorist waronterror tennesse malibu marvelcom superhero basedoncomicbook tonystark ironman aftercreditssting marvelcinematicunivers mandarin 3d warmachin ironpatriot extremi robertdowneyjr. gwynethpaltrow doncheadl when toni stark' world torn apart by formid terrorist call mandarin, he start odyssey rebuild retribution.",68721
32,Alice in Wonderland,"alice, unpretenti individu 19-year-old, betroth dunc english nobleman. at her engag party, she escap crowd consid whether go through with marriag fall down hole garden after spot unusu rabbit. arriv strang surreal place call 'underland,' she find herself world that resembl nightmar she child, fill with talk animals, villain queen knights, frumiou bandersnatches. alic realiz that she there for reason – conquer horrif jabberwocki restor right queen her throne. famili fantasi adventur basedonnovel fictionalplac queen fantasi aliceinwonderland fantasyworld 3d miawasikowska johnnydepp annehathaway alice, unpretenti individu 19-year-old, betroth dunc english nobleman. at her engag party, she escap crowd consid whether go through with marriag fall down hole garden after spot unusu rabbit. arriv strang surreal place call 'underland,' she find herself world that resembl nightmar she child, fill with talk animals, villain queen knights, frumiou bandersnatches. alic realiz that she there for reason – conquer horrif jabberwocki restor right queen her throne.",12155
33,X-Men: The Last Stand,"when cure found treat mutations, line are drawn amongst x-men brotherhood, band power mutant organ under xavier' former ally, magneto. adventur action sciencefict thriller mutant marvelcom basedoncomicbook superhuman beast cyclop aftercreditssting hughjackman halleberri ianmckellen when cure found treat mutations, line are drawn amongst x-men brotherhood, band power mutant organ under xavier' former ally, magneto.",36668
34,Monsters University,look at relationship between mike sulley dure their day at monster univers — when they weren't necessarili best friends. anim famili monster dormitori game anim bestfriend univers scari aftercreditssting billycryst johngoodman stevebuscemi look at relationship between mike sulley dure their day at monster univers — when they weren't necessarili best friends.,62211
35,Transformers: Revenge of the Fallen,"sam witwicki leav autobot behind for normal life. when hi mind fill with cryptic symbols, decepticon target he drag back into transformers' war. sciencefict action adventur egypt sun chao symbol artifact transform tank robot imax duringcreditssting shialabeouf meganfox joshduhamel sam witwicki leav autobot behind for normal life. when hi mind fill with cryptic symbols, decepticon target he drag back into transformers' war.",8373
36,Transformers: Age of Extinction,"human pick up pieces, follow conclus ""transformers: dark moon,"" autobot decepticon have all vanish face planet. however, group powerful, ingeni businessman scientist attempt learn past transform incurs push boundari technolog beyond what they can control - all while ancient, power transform menac set earth hi cross-hairs. sciencefict action adventur sequel alien transform giantrobot robot imax transformingrobot markwahlberg stanleytucci kelseygramm human pick up pieces, follow conclus ""transformers: dark moon,"" autobot decepticon have all vanish face planet. however, group powerful, ingeni businessman scientist attempt learn past transform incurs push boundari technolog beyond what they can control - all while ancient, power transform menac set earth hi cross-hairs.",91314
37,Oz: The Great and Powerful,"oscar diggs, small-tim circu illusionist con-artist, whisk kansa land oz where inhabit assum he' great wizard prophecy, there save oz clutch evil. fantasi adventur famili circu witch magic hope illus lost magictrick wizard 3d jamesfranco milakuni rachelweisz oscar diggs, small-tim circu illusionist con-artist, whisk kansa land oz where inhabit assum he' great wizard prophecy, there save oz clutch evil.",68728
38,The Amazing Spider-Man 2,"for peter parker, life busy. between take out bad guy spider-man spend time with person he loves, gwen stacy, high school graduat cannot come quickli enough. peter not forgotten about promis he made gwen’ father protect her by stay away, that promis he cannot keep. thing will chang for peter when new villain, electro, emerges, old friend, harri osborn, returns, peter uncov new clue about hi past. action adventur fantasi obsess marvelcom sequel basedoncomicbook electrocut medicalexperi electr superpow andrewgarfield emmaston jamiefoxx for peter parker, life busy. between take out bad guy spider-man spend time with person he loves, gwen stacy, high school graduat cannot come quickli enough. peter not forgotten about promis he made gwen’ father protect her by stay away, that promis he cannot keep. thing will chang for peter when new villain, electro, emerges, old friend, harri osborn, returns, peter uncov new clue about hi past.",102382
39,TRON: Legacy,"sam flynn, tech-savvi dare son kevin flynn, investig hi father' disappear pull into grid. with help mysteri program name quorra, sam quest stop evil dictat clu cross into real world. adventur action sciencefict artificialintellig secretident computerprogram dystopia comput decept duel motorcycl neonlight autocraci garretthedlund jeffbridg oliviawild sam flynn, tech-savvi dare son kevin flynn, investig hi father' disappear pull into grid. with help mysteri program name quorra, sam quest stop evil dictat clu cross into real world.",20526
40,Cars 2,star race car lightn mcqueen hi pal mater head oversea compet world grand prix race. road championship becom rocki mater get caught up intrigu adventur hi own: intern espionage. anim famili adventur comedi carrac sequel comedi anthropomorph bestfriend duringcreditssting owenwilson larrythecableguy michaelcain star race car lightn mcqueen hi pal mater head oversea compet world grand prix race. road championship becom rocki mater get caught up intrigu adventur hi own: intern espionage.,49013
41,Green Lantern,"for centuries, small power forc warrior call green lantern corp sworn keep intergalact order. each green lantern wear ring that grant superpowers. when new enemi call parallax threaten destroy balanc power universe, their fate fate earth lie hand first human ever recruited. adventur action thriller sciencefict dccomic transform superhero alien alieninfect magicalobject protector superpow origin 3d ryanreynold blakel petersarsgaard for centuries, small power forc warrior call green lantern corp sworn keep intergalact order. each green lantern wear ring that grant superpowers. when new enemi call parallax threaten destroy balanc power universe, their fate fate earth lie hand first human ever recruited.",44912
42,Toy Story 3,"woody, buzz, rest andy' toy haven't been play with years. with andi about go college, gang find themselv accident left at nefari day care center. toy must band togeth escap return home andy. anim famili comedi hostag colleg toy barbi anim escap daycar teddybear duringcreditssting toycomestolif personif inanimateobjectscomingtolif toystori tomhank timallen nedbeatti woody, buzz, rest andy' toy haven't been play with years. with andi about go college, gang find themselv accident left at nefari day care center. toy must band togeth escap return home andy.",10193
43,Terminator Salvation,"all grown up post-apocalypt 2018, john connor must lead resist human against increasingli domin militarist robots. when marcu wright appears, hi exist confus mission connor tri determin whether wright come futur past -- whether he' friend foe. action sciencefict thriller savingtheworld artificialintellig propheci sanfrancisco cyborg killerrobot gasstat post-apocalypt dystopia armi firearm wartim losangel christianbal samworthington antonyelchin all grown up post-apocalypt 2018, john connor must lead resist human against increasingli domin militarist robots. when marcu wright appears, hi exist confus mission connor tri determin whether wright come futur past -- whether he' friend foe.",534
44,Furious 7,deckard shaw seek reveng against domin toretto hi famili for hi comatos brother. action carrac speed reveng suspens car race musclecar vindiesel paulwalk dwaynejohnson deckard shaw seek reveng against domin toretto hi famili for hi comatos brother.,168259
45,World War Z,"life for former unit nation investig gerri lane hi famili seem content. suddenly, world plagu by mysteri infect turn whole human popul into rampag mindless zombies. after bare escap chaos, lane persuad go mission investig thi disease. what follow peril trek around world where lane must brave horrif danger long odd find answer befor human civil falls. action drama horror sciencefict thriller dystopia apocalyps zombi nuclearweapon multipleperspect zombieapocalyps bradpitt mireilleeno abigailhargrov life for former unit nation investig gerri lane hi famili seem content. suddenly, world plagu by mysteri infect turn whole human popul into rampag mindless zombies. after bare escap chaos, lane persuad go mission investig thi disease. what follow peril trek around world where lane must brave horrif danger long odd find answer befor human civil falls.",72190
46,X-Men: Days of Future Past,ultim x-men ensembl fight war for surviv speci across two time period they join forc with their younger selv epic battl that must chang past – save our future. action adventur fantasi sciencefict 1970 mutant timetravel marvelcom basedoncomicbook superhuman storm beast aftercreditssting changingthepastorfutur hughjackman jamesmcavoy michaelfassbend ultim x-men ensembl fight war for surviv speci across two time period they join forc with their younger selv epic battl that must chang past – save our future.,127585
47,Star Trek Into Darkness,"when crew enterpris call back home, they find unstopp forc terror within their own organ deton fleet everyth stand for, leav our world state crisis. with person score settle, captain kirk lead manhunt war-zon world captur one man weapon mass destruction. our hero are propel into epic chess game life death, love will challenged, friendship will torn apart, sacrific must made for onli famili kirk left: hi crew. action adventur sciencefict spacecraft friendship sequel futurist space alien imax spaceopera terroristbomb 3d chrispin zacharyquinto zoesaldana when crew enterpris call back home, they find unstopp forc terror within their own organ deton fleet everyth stand for, leav our world state crisis. with person score settle, captain kirk lead manhunt war-zon world captur one man weapon mass destruction. our hero are propel into epic chess game life death, love will challenged, friendship will torn apart, sacrific must made for onli famili kirk left: hi crew.",54138
48,Jack the Giant Slayer,"stori ancient war that reignit when young farmhand unwittingli open gateway between our world fearsom race giants. unleash earth for first time centuries, giant strive reclaim land they onc lost, forc young man, jack into battl hi life stop them. fight for kingdom, it people, love brave princess, he come face face with unstopp warrior he thought onli exist legend–and get chanc becom legend himself. action famili fantasi basedonfairytal giant nicholashoult eleanortomlinson ewanmcgregor stori ancient war that reignit when young farmhand unwittingli open gateway between our world fearsom race giants. unleash earth for first time centuries, giant strive reclaim land they onc lost, forc young man, jack into battl hi life stop them. fight for kingdom, it people, love brave princess, he come face face with unstopp warrior he thought onli exist legend–and get chanc becom legend himself.",81005
49,The Great Gatsby,"adapt f. scott fitzgerald' long island-set novel, where midwestern nick carraway lure into lavish world hi neighbor, jay gatsby. soon enough, however, carraway will see through crack gatsby' nouveau rich existence, where obsession, madness, tragedi await. drama romanc basedonnovel infidel obsess hope 3d leonardodicaprio tobeymaguir careymulligan adapt f. scott fitzgerald' long island-set novel, where midwestern nick carraway lure into lavish world hi neighbor, jay gatsby. soon enough, however, carraway will see through crack gatsby' nouveau rich existence, where obsession, madness, tragedi await.",64682
50,Prince of Persia: The Sands of Time,"rogu princ reluctantli join forc with mysteri princess together, they race against dark forc safeguard ancient dagger capabl releas sand time – gift god that can revers time allow it possessor rule world. adventur fantasi action romanc persia sandstorm brotheragainstbroth armageddon regent basedonvideogam jakegyllenha gemmaarterton benkingsley rogu princ reluctantli join forc with mysteri princess together, they race against dark forc safeguard ancient dagger capabl releas sand time – gift god that can revers time allow it possessor rule world.",9543
